Sudo.ID	Approved.Symbol	txStart	txEnd	myStart	myEnd
439	IGHV3-19	106653369	106653661	1	293
444	IGHV3-20	106667579	106668033	1	353
447	IGHVII-20-1	106669465	106669965	1	501
452	IGHV3-21	106691671	106692124	1	353
457	IGHV3-22	106714360	106714821	1	359
460	IGHVII-22-1	106719953	106720221	1	269
465	IGHVIII-22-2	106721279	106721466	1	86
470	IGHV3-23	106725199	106725654	1	353
475	IGHV1-24	106733142	106733579	1	353
480	IGHV3-25	106745620	106746073	1	353
483	IGHVIII-25-1	106750160	106750401	1	242
488	IGHV2-26	106757649	106758092	1	358
491	IGHVIII-26-1	106765667	106765973	1	307
494	IGHVII-26-2	106770911	106771223	1	313
499	IGHV7-27	106774086	106774499	1	330
504	IGHV4-28	106780511	106780945	1	353
507	IGHVII-28-1	106785686	106785938	1	253
512	IGHV3-29	106787358	106787815	1	355
517	IGHV3-30	106791003	106791456	1	353
520	IGHVII-30-1	106798602	106798875	1	274
525	IGHV3-30-2	106800309	106800757	1	355
530	IGHV4-31	106805207	106805644	1	356
533	IGHVII-31-1	106810541	106810643	1	103
538	IGHV3-32	106812071	106812528	1	355
543	IGHV3-33	106815720	106816173	1	353
546	IGHVII-33-1	106823321	106823594	1	274
551	IGHV3-33-2	106825029	106825477	1	355
556	IGHV4-34	106829592	106830024	1	350
561	IGHV7-34-1	106833231	106833664	1	350
566	IGHV3-35	106845321	106845774	1	353
571	IGHV3-36	106848680	106849142	1	358
576	IGHV3-37	106852577	106853026	1	351
586	IGHV3-38	106866407	106866856	1	347
589	IGHVIII-38-1	106873935	106874227	1	293
594	IGHV4-39	106877617	106878055	1	356
597	IGHV7-40	106881264	106881466	1	203
600	IGHVII-40-1	106896845	106896921	1	77
605	IGHV3-41	106899040	106899494	1	352
610	IGHV3-42	106919179	106919613	1	332
615	IGHV3-43	106926187	106926644	1	355
618	IGHVII-43-1	106928715	106928923	1	209
623	IGHVIII-44	106934223	106934399	1	78
628	IGHVIV-44-1	106945349	106945777	1	346
631	IGHVII-44-2	106950159	106950395	1	237
636	IGHV1-45	106962929	106963366	1	353
641	IGHV1-46	106967047	106967484	1	353
646	IGHVII-46-1	106971770	106972058	1	204
651	IGHV3-47	106974506	106974961	1	354
654	IGHVIII-47-1	106987135	106987438	1	304
659	IGHV3-48	106993812	106994267	1	353
664	IGHV3-49	107012936	107013397	1	359
667	IGHVII-49-1	107020316	107020586	1	271
672	IGHV3-50	107022088	107022543	1	354
677	IGHV5-51	107034727	107035162	1	353
680	IGHVIII-51-1	107039488	107039794	1	307
683	IGHVII-51-2	107040698	107040960	1	263
688	IGHV3-52	107042360	107042810	1	353
693	IGHV3-53	107048670	107049120	1	350
696	IGHVII-53-1	107055667	107055936	1	270
701	IGHV3-54	107057348	107057795	1	355
706	IGHV4-55	107062126	107062561	1	353
711	IGHV7-56	107065772	107066206	1	351
714	IGHV3-57	107074922	107075227	1	306
719	IGHV1-58	107078371	107078808	1	353
724	IGHV4-59	107083254	107083685	1	350
729	IGHV3-60	107087202	107087658	1	354
732	IGHVII-60-1	107093710	107093978	1	269
737	IGHV4-61	107095124	107095561	1	356
742	IGHV3-62	107099133	107099588	1	353
745	IGHVII-62-1	107106520	107106792	1	273
750	IGHV3-63	107108228	107108695	1	365
755	IGHV3-64	107113739	107114194	1	353
760	IGHV3-65	107122054	107122548	1	399
763	IGHVII-65-1	107127788	107128060	1	273
768	IGHV3-66	107131031	107131481	1	350
773	IGHV1-67	107136620	107137059	1	357
776	IGHVII-67-1	107142410	107142559	1	150
779	IGHVIII-67-2	107143119	107143217	1	99
782	IGHVIII-67-3	107148631	107148905	1	275
785	IGHVIII-67-4	107151109	107151414	1	306
790	IGHV1-68	107159824	107160303	1	391
795	IGHV1-69	107169929	107170367	1	353
800	IGHV2-70	107178819	107179262	1	358
805	IGHV3-71	107183396	107183857	1	359
810	IGHV3-72	107198930	107199391	1	359
815	IGHV3-73	107210930	107211391	1	359
820	IGHV3-74	107218674	107219129	1	353
823	IGHVII-74-1	107229473	107229641	1	169
828	IGHV3-75	107231908	107232377	1	366
833	IGHV3-76	107236089	107236538	1	349
836	IGHVIII-76-1	107239990	107240296	1	307
841	IGHV5-78	107259327	107259761	1	352
844	IGHVII-78-1	107273836	107274110	1	275
849	IGHV3-79	107275853	107276304	1	360
854	IGHV4-80	107280994	107281394	1	318
859	IGHV7-81	107282790	107283226	1	353
862	IGHVIII-82	107287760	107288051	1	292
